prod_id,supplier_name,ean_upc,path(es_pe),timestamp,"Your product ID",error_message
"GV-N5060EAGLE OC-8GD",GIGABYTE,4719331356439|0889523050705|889523050705,https://data.icecat.biz/export/freexml/ES_PE/130955597.xml,"2026-07-27 20:50:42",,
"GV-N506TEAGLE OC-8GD",GIGABYTE,4719331356101|0889523049365|889523049365,https://data.icecat.biz/export/freexml/ES_PE/130787103.xml,"2026-07-27 20:50:46",,
GV-N506TWF2OC-16GD,GIGABYTE,4719331356064|0889523049372|889523049372,https://data.icecat.biz/export/freexml/ES_PE/130676237.xml,"2025-07-25 09:08:37",,
"GEFORCE RTX 5060 TI 16G VENTUS 3X OC",MSI,4711377337618|0824142421048|824142421048,https://data.icecat.biz/export/freexml/ES_PE/130570590.xml,"2025-08-16 11:30:19",,
"GV-N5070EAGLE OC-12GD",GIGABYTE,4719331355760|0889523048412|889523048412,https://data.icecat.biz/export/freexml/ES_PE/125097811.xml,"2026-02-23 18:53:15",,
"GEFORCE RTX 5070 12G VENTUS 3X OC",MSI,4711377308281|0824142405666|824142405666,https://data.icecat.biz/export/freexml/ES_PE/128778230.xml,"2026-05-10 10:44:12",,
TUF-RTX5070-O12G-GAMING,ASUS,,https://data.icecat.biz/export/freexml/ES_PE/128857429.xml,"2026-05-19 16:25:58",,
"GEFORCE RTX 5070 TI 16G VENTUS 3X OC",MSI,4711377301589|0824142402801|824142402801,https://data.icecat.biz/export/freexml/ES_PE/128520184.xml,"2026-04-07 12:32:51",,
90YV0MD0-M0NA00,ASUS,4711387861455|0197105878075|197105878075,https://data.icecat.biz/export/freexml/ES_PE/125218227.xml,"2026-08-04 15:31:04",,
"GEFORCE RTX 5080 16G VENTUS 3X OC",MSI,4711377309219|0824142406380|824142406380,https://data.icecat.biz/export/freexml/ES_PE/125141053.xml,"2026-09-09 07:25:24",,
"GEFORCE RTX 4060 TI VENTUS 3X 8G OC",MSI,4711377102551|0824142325636|824142325636,https://data.icecat.biz/export/freexml/ES_PE/111690251.xml,"2025-11-05 14:24:34",,
"GV-N4070GAMING OCV2-12GD",GIGABYTE,4719331314873,https://data.icecat.biz/export/freexml/ES_PE/117535380.xml,"2024-09-02 20:29:49",,
"GEFORCE RTX 4070 TI SUPER 16G VENTUS 3X OC",MSI,0824142346792|824142346792|4711377171182,https://data.icecat.biz/export/freexml/ES_PE/118343228.xml,"2025-02-07 10:00:48",,
"GEFORCE RTX 4080 SUPER 16G VENTUS 3X OC",MSI,4711377170734|0824142346587|824142346587,https://data.icecat.biz/export/freexml/ES_PE/118083548.xml,"2024-09-21 10:37:45",,
"GV-N4080GAMING OC-16GD",GIGABYTE,4719331311520|4719331312381|0889523034354|889523034354,https://data.icecat.biz/export/freexml/ES_PE/105003320.xml,"2025-11-05 14:24:45",,
"GV-N4090GAMING OC-24GD",GIGABYTE,4719331311438|0889523033845|889523033845,https://data.icecat.biz/export/freexml/ES_PE/102155661.xml,"2026-08-26 20:09:33",,
"GV-R9060XTGAMING OC-8GD",GIGABYTE,4719331356231|0889523049754|889523049754,https://data.icecat.biz/export/freexml/ES_PE/131044335.xml,"2026-04-23 05:27:07",,
"GV-R9070XTGAMING OC-16GD",GIGABYTE,4719331355524|0889523047569|889523047569,https://data.icecat.biz/export/freexml/ES_PE/125098230.xml,"2026-07-27 20:50:46",,
"GV-R76GAMING OC-8GD",GIGABYTE,4719331313425,https://data.icecat.biz/export/freexml/ES_PE/111337534.xml,"2025-10-24 12:09:47",,
"GV-R78XTGAMING OC-16GD",GIGABYTE,4719331314514|0889523039489|889523039489,https://data.icecat.biz/export/freexml/ES_PE/114620562.xml,"2026-08-27 21:27:52",,
"RADEON RX 7900 XT GAMING TRIO CLASSIC 20G",MSI,4711377061056,https://data.icecat.biz/export/freexml/ES_PE/108727923.xml,"2025-11-05 14:24:51",,
"GV-R79XTXGAMING OC-24GD",GIGABYTE,4719331312626|0889523035351|889523035351,https://data.icecat.biz/export/freexml/ES_PE/107354548.xml,"2026-08-27 19:00:08",,
