Brand,MPN,EAN,Model,Description,Category
GIGABYTE,GV-N5060EAGLE OC-8GD,,RTX 5060 EAGLE OC 8G,GIGABYTE GeForce RTX 5060 EAGLE OC 8G,GPU
GIGABYTE,GV-N506TEAGLE OC-8GD,,RTX 5060 Ti EAGLE OC 8G,GIGABYTE GeForce RTX 5060 Ti EAGLE OC 8G,GPU
GIGABYTE,GV-N506TWF2OC-16GD,,RTX 5060 Ti WINDFORCE OC 16G,GIGABYTE GeForce RTX 5060 Ti WINDFORCE OC 16G,GPU
MSI,RTX 5060 Ti 16G VENTUS 3X OC,,RTX 5060 Ti 16G VENTUS 3X OC,MSI GeForce RTX 5060 Ti 16G VENTUS 3X OC,GPU
GIGABYTE,GV-N5070EAGLE OC-12GD,,RTX 5070 EAGLE OC SFF 12G,GIGABYTE GeForce RTX 5070 EAGLE OC SFF 12G,GPU
MSI,RTX 5070 12G VENTUS 3X OC,,RTX 5070 12G VENTUS 3X OC,MSI GeForce RTX 5070 12G VENTUS 3X OC,GPU
ASUS,TUF-RTX5070-O12G-GAMING,,TUF Gaming RTX 5070 OC 12G,ASUS TUF Gaming GeForce RTX 5070 12GB GDDR7 OC Edition,GPU
ASUS,90YV0LZ0-MVAA00,,TUF Gaming RTX 5070 OC 12G,ASUS TUF Gaming GeForce RTX 5070 12GB GDDR7 OC Edition,GPU
MSI,RTX 5070 Ti 16G VENTUS 3X OC,,RTX 5070 Ti 16G VENTUS 3X OC,MSI GeForce RTX 5070 Ti 16G VENTUS 3X OC,GPU
ASUS,TUF-RTX5070TI-O16G-GAMING,,TUF Gaming RTX 5070 Ti OC 16G,ASUS TUF Gaming GeForce RTX 5070 Ti 16GB GDDR7 OC Edition,GPU
MSI,RTX 5080 16G VENTUS 3X OC,,RTX 5080 16G VENTUS 3X OC,MSI GeForce RTX 5080 16G VENTUS 3X OC,GPU
MSI,RTX 5090 32G VENTUS 3X OC,,RTX 5090 32G VENTUS 3X OC,MSI GeForce RTX 5090 32G VENTUS 3X OC,GPU
MSI,RTX 4060 Ti VENTUS 3X 8G OC,,RTX 4060 Ti VENTUS 3X 8G OC,MSI GeForce RTX 4060 Ti VENTUS 3X 8G OC,GPU
GIGABYTE,GV-N4070GAMING OCV2-12GD,,RTX 4070 GAMING OC V2 12G,GIGABYTE GeForce RTX 4070 GAMING OC V2 12G,GPU
MSI,RTX 4070 Ti SUPER 16G VENTUS 3X OC,,RTX 4070 Ti SUPER 16G VENTUS 3X OC,MSI GeForce RTX 4070 Ti SUPER 16G VENTUS 3X OC,GPU
MSI,RTX 4080 SUPER 16G VENTUS 3X OC,,RTX 4080 SUPER 16G VENTUS 3X OC,MSI GeForce RTX 4080 SUPER 16G VENTUS 3X OC,GPU
GIGABYTE,GV-N4080GAMING OC-16GD,,RTX 4080 GAMING OC 16G,GIGABYTE GeForce RTX 4080 GAMING OC 16G,GPU
GIGABYTE,GV-N4090GAMING OC-24GD,,RTX 4090 GAMING OC 24G,GIGABYTE GeForce RTX 4090 GAMING OC 24G,GPU
GIGABYTE,GV-R9060XTGAMING OC-8GD,,RX 9060 XT GAMING OC 8G,GIGABYTE Radeon RX 9060 XT GAMING OC 8G,GPU
GIGABYTE,GV-R9070XTGAMING OC-16GD,,RX 9070 XT GAMING OC 16G,GIGABYTE Radeon RX 9070 XT GAMING OC 16G,GPU
GIGABYTE,GV-R76GAMING OC-8GD,,RX 7600 GAMING OC 8G,GIGABYTE Radeon RX 7600 GAMING OC 8G,GPU
GIGABYTE,GV-R78XTGAMING OC-16GD,,RX 7800 XT GAMING OC 16G,GIGABYTE Radeon RX 7800 XT GAMING OC 16G,GPU
MSI,RX 7900 XT GAMING TRIO CLASSIC 20G,,RX 7900 XT GAMING TRIO CLASSIC 20G,MSI Radeon RX 7900 XT GAMING TRIO CLASSIC 20G,GPU
GIGABYTE,GV-R79XTXGAMING OC-24GD,,RX 7900 XTX GAMING OC 24G,GIGABYTE Radeon RX 7900 XTX GAMING OC 24G,GPU
