prod_id,supplier_name,ean_upc,path(es_pe),timestamp,"Your product ID",error_message
90MB1EG0-M0EAY0,ASUS,4711387034934,https://data.icecat.biz/export/freexml/ES_PE/107738080.xml,"2026-07-09 13:15:20",,
"MAG B650 TOMAHAWK WIFI",MSI,4711377010153|0824142301036|824142301036,https://data.icecat.biz/export/freexml/ES_PE/102156733.xml,"2026-07-13 16:30:57",,
"B650 GAMING X AX",GIGABYTE,4719331849849|0889523034156|889523034156|0889523034163|889523034163,https://data.icecat.biz/export/freexml/ES_PE/101890207.xml,"2025-11-05 14:24:45",,
"MAG B850 TOMAHAWK MAX WIFI",MSI,4711377290623|0824142395356|824142395356,https://data.icecat.biz/export/freexml/ES_PE/124860428.xml,"2025-12-09 12:27:02",,
"MAG X870 TOMAHAWK WIFI",MSI,4711377254557|0824142380499|824142380499,https://data.icecat.biz/export/freexml/ES_PE/122348140.xml,"2026-07-13 16:45:53",,
90MB1IF0-M0EAY0,ASUS,4711387737859|0197105737853|197105737853,https://data.icecat.biz/export/freexml/ES_PE/122344459.xml,"2026-08-05 14:14:48",,
"X870 A ELITE WIFI7",GIGABYTE,4719331864811|0889523045213|889523045213,https://data.icecat.biz/export/freexml/ES_PE/122200622.xml,"2026-08-25 20:20:16",,
90MB1IB0-M0EAY0,ASUS,4711387724163|0197105724167|197105724167|0199291407947|199291407947,https://data.icecat.biz/export/freexml/ES_PE/122344462.xml,"2026-08-19 14:22:29",,
90MB1IE0-M0AAY0,ASUS,,https://data.icecat.biz/export/freexml/ES_PE/122442703.xml,"2024-11-22 17:47:40",,
"MAG B860M MORTAR WIFI",MSI,,https://data.icecat.biz/export/freexml/ES_PE/127689061.xml,"2026-05-13 10:43:39",,
"MPG Z890 EDGE TI WIFI",MSI,4711377260800|0824142383773|824142383773,https://data.icecat.biz/export/freexml/ES_PE/122620182.xml,"2026-07-13 17:12:40",,
90MB1I90-M0EAY0,ASUS,4711387758830|0197105758834|197105758834,https://data.icecat.biz/export/freexml/ES_PE/122653616.xml,"2026-08-05 14:13:37",,
90MB1ID0-M0EAY0,ASUS,4711387747223|0197105747227|197105747227,https://data.icecat.biz/export/freexml/ES_PE/122653615.xml,"2026-08-05 14:13:37",,
"MAG B760M MORTAR WIFI II",MSI,0824142337820|824142337820,https://data.icecat.biz/export/freexml/ES_PE/116354392.xml,"2025-06-05 10:02:54",,
"MAG Z790 TOMAHAWK WIFI",MSI,4711377025492|0824142305690|824142305690,https://data.icecat.biz/export/freexml/ES_PE/104084768.xml,"2026-07-13 16:49:10",,
"Z790 AORUS ELITE AX",GIGABYTE,4719331849467|0889523034002|889523034002,https://data.icecat.biz/export/freexml/ES_PE/102142839.xml,"2025-06-04 14:28:10",,
