Brand,MPN,EAN,Model,Description,Category,SourceURL
AMD,,,Ryzen 5 5600,AMD Ryzen 5 5600,CPU,https://www.amd.com/en/products/processors/desktops/ryzen/5000-series/amd-ryzen-5-5600.html
AMD,,,Ryzen 5 5600X,AMD Ryzen 5 5600X,CPU,https://www.amd.com/en/products/processors/desktops/ryzen/5000-series/amd-ryzen-5-5600x.html
AMD,,,Ryzen 7 5700X3D,AMD Ryzen 7 5700X3D,CPU,https://www.amd.com/en/products/processors/desktops/ryzen/5000-series/amd-ryzen-7-5700x3d.html
AMD,,,Ryzen 5 7600,AMD Ryzen 5 7600,CPU,https://www.amd.com/en/products/processors/desktops/ryzen/7000-series/amd-ryzen-5-7600.html
AMD,,,Ryzen 5 7600X,AMD Ryzen 5 7600X,CPU,https://www.amd.com/en/products/processors/desktops/ryzen/7000-series/amd-ryzen-5-7600x.html
AMD,,,Ryzen 5 9600X,AMD Ryzen 5 9600X,CPU,https://www.amd.com/en/products/processors/desktops/ryzen/9000-series/amd-ryzen-5-9600x.html
AMD,,,Ryzen 7 7700X,AMD Ryzen 7 7700X,CPU,https://www.amd.com/en/products/processors/desktops/ryzen/7000-series/amd-ryzen-7-7700x.html
AMD,,,Ryzen 7 9700X,AMD Ryzen 7 9700X,CPU,https://www.amd.com/en/products/processors/desktops/ryzen/9000-series/amd-ryzen-7-9700x.html
AMD,,,Ryzen 7 7800X3D,AMD Ryzen 7 7800X3D,CPU,https://www.amd.com/en/products/processors/desktops/ryzen/7000-series/amd-ryzen-7-7800x3d.html
AMD,,,Ryzen 7 9800X3D,AMD Ryzen 7 9800X3D,CPU,https://www.amd.com/en/products/processors/desktops/ryzen/9000-series/amd-ryzen-7-9800x3d.html
AMD,,,Ryzen 7 9850X3D,AMD Ryzen 7 9850X3D,CPU,https://www.amd.com/en/products/processors/desktops/ryzen/9000-series/amd-ryzen-7-9850x3d.html
AMD,,,Ryzen 9 9900X,AMD Ryzen 9 9900X,CPU,https://www.amd.com/en/products/processors/desktops/ryzen/9000-series/amd-ryzen-9-9900x.html
AMD,,,Ryzen 9 9950X,AMD Ryzen 9 9950X,CPU,https://www.amd.com/en/products/processors/desktops/ryzen/9000-series/amd-ryzen-9-9950x.html
AMD,,,Ryzen 9 9950X3D,AMD Ryzen 9 9950X3D,CPU,https://www.amd.com/en/products/processors/desktops/ryzen/9000-series/amd-ryzen-9-9950x3d.html
Intel,,,Core Ultra 5 245K,Intel Core Ultra 5 245K,CPU,https://www.intel.com/content/www/us/en/products/sku/241046/intel-core-ultra-5-processor-245k/specifications.html
Intel,,,Core Ultra 5 250K Plus,Intel Core Ultra 5 250K Plus,CPU,https://www.intel.com/content/www/us/en/products/details/processors/core-ultra.html
Intel,,,Core Ultra 7 265K,Intel Core Ultra 7 265K,CPU,https://www.intel.com/content/www/us/en/products/sku/241048/intel-core-ultra-7-processor-265k/specifications.html
Intel,,,Core Ultra 7 270K Plus,Intel Core Ultra 7 270K Plus,CPU,https://www.intel.com/content/www/us/en/products/details/processors/core-ultra.html
Intel,,,Core Ultra 9 285K,Intel Core Ultra 9 285K,CPU,https://www.intel.com/content/www/us/en/products/sku/241050/intel-core-ultra-9-processor-285k/specifications.html
Intel,,,Core i5-14600K,Intel Core i5-14600K,CPU,https://www.intel.com/content/www/us/en/products/sku/236787/intel-core-i5-processor-14600k/specifications.html
Intel,,,Core i7-14700K,Intel Core i7-14700K,CPU,https://www.intel.com/content/www/us/en/products/sku/236789/intel-core-i7-processor-14700k/specifications.html
Intel,,,Core i9-14900K,Intel Core i9-14900K,CPU,https://www.intel.com/content/www/us/en/products/sku/236791/intel-core-i9-processor-14900k/specifications.html
