prod_id,supplier_name,ean,price_excl,price_incl,ice_prod_id,ice_supplier_name,ice_ean,"Your product ID"
"Ryzen 5 5600",AMD,,,,"Ryzen 5 5600",AMD,,
"Ryzen 5 5600X",AMD,,,,"Ryzen 5 5600X",AMD,,
"Ryzen 7 5700X3D",AMD,,,,"Ryzen 7 5700X3D",AMD,,
"Ryzen 5 7600",AMD,,,,"Ryzen 5 7600",AMD,,
"Ryzen 5 7600X",AMD,,,,"Ryzen 5 7600X",AMD,,
"Ryzen 5 9600X",AMD,,,,"Ryzen 5 9600X",AMD,,
"Ryzen 7 7700X",AMD,,,,"Ryzen 7 7700X",AMD,,
"Ryzen 7 9700X",AMD,,,,"Ryzen 7 9700X",AMD,,
"Ryzen 7 7800X3D",AMD,,,,"Ryzen 7 7800X3D",AMD,,
"Ryzen 7 9800X3D",AMD,,,,"Ryzen 7 9800X3D",AMD,,
"Ryzen 7 9850X3D",AMD,,,,"Ryzen 7 9850X3D",AMD,,
"Ryzen 9 9900X",AMD,,,,"Ryzen 9 9900X",AMD,,
"Ryzen 9 9950X",AMD,,,,"Ryzen 9 9950X",AMD,,
"Ryzen 9 9950X3D",AMD,,,,"Ryzen 9 9950X3D",AMD,,
"Core Ultra 5 245K",Intel,,,,"Core Ultra 5 245K",Intel,,
"Core Ultra 5 250K Plus",Intel,,,,"Core Ultra 5 250K Plus",Intel,,
"Core Ultra 7 265K",Intel,,,,"Core Ultra 7 265K",Intel,,
"Core Ultra 7 270K Plus",Intel,,,,"Core Ultra 7 270K Plus",Intel,,
"Core Ultra 9 285K",Intel,,,,"Core Ultra 9 285K",Intel,,
"Core i5-14600K",Intel,,,,"Core i5-14600K",Intel,,
"Core i7-14700K",Intel,,,,"Core i7-14700K",Intel,,
"Core i9-14900K",Intel,,,,"Core i9-14900K",Intel,,
"GeForce RTX 5060 8GB",NVIDIA,,,,"GeForce RTX 5060 8GB",NVIDIA,,
"GeForce RTX 5060 Ti 8GB",NVIDIA,,,,"GeForce RTX 5060 Ti 8GB",NVIDIA,,
"GeForce RTX 5060 Ti 16GB",NVIDIA,,,,"GeForce RTX 5060 Ti 16GB",NVIDIA,,
"GeForce RTX 5070 12GB",NVIDIA,,,,"GeForce RTX 5070 12GB",NVIDIA,,
"GeForce RTX 5070 Ti 16GB",NVIDIA,,,,"GeForce RTX 5070 Ti 16GB",NVIDIA,,
